experiment_name,experiment_date,cluster_name,gpu_type,gpu_memory,collective,operation,algorithm,num_nodes,num_gpus,num_channels,num_chunks,buffer_size,gpus_as_nodes,iteration,message_size,count,dtype,redop,root,oop_time,oop_alg_bw,oop_bus_bw,oop_num_wrong,ip_time,ip_alg_bw,ip_bus_bw,ip_num_wrong
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,64,1,false,0,524288,131072,float,sum,-1,1026.8,0.51,0.96,0,1023.5,0.51,0.96,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,64,1,false,0,1048576,262144,float,sum,-1,1067.1,0.98,1.84,0,1062.1,0.99,1.85,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,64,1,false,0,2097152,524288,float,sum,-1,1129.0,1.86,3.48,0,1131.1,1.85,3.48,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,64,1,false,0,4194304,1048576,float,sum,-1,1397.3,3.0,5.63,0,1385.1,3.03,5.68,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,64,1,false,0,8388608,2097152,float,sum,-1,2092.2,4.01,7.52,0,2097.5,4.0,7.5,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,64,1,false,0,16777216,4194304,float,sum,-1,3515.0,4.77,8.95,0,3560.2,4.71,8.84,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,64,1,false,0,33554432,8388608,float,sum,-1,6867.9,4.89,9.16,0,6898.7,4.86,9.12,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,64,1,false,0,67108864,16777216,float,sum,-1,14965.0,4.48,8.41,0,18934.0,3.54,6.65,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,64,1,false,0,134217728,33554432,float,sum,-1,29682.0,4.52,8.48,0,29811.0,4.5,8.44,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,64,1,false,0,268435456,67108864,float,sum,-1,65270.0,4.11,7.71,0,64523.0,4.16,7.8,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,16,1,false,0,65536,16384,float,sum,-1,309.3,0.21,0.4,0,311.4,0.21,0.39,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,16,1,false,0,131072,32768,float,sum,-1,314.9,0.42,0.78,0,311.7,0.42,0.79,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,16,1,false,0,262144,65536,float,sum,-1,323.8,0.81,1.52,0,8658.8,0.03,0.06,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,16,1,false,0,524288,131072,float,sum,-1,343.5,1.53,2.86,0,338.7,1.55,2.9,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,16,1,false,0,1048576,262144,float,sum,-1,404.4,2.59,4.86,0,404.1,2.59,4.87,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,16,1,false,0,2097152,524288,float,sum,-1,580.2,3.61,6.78,0,582.7,3.6,6.75,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,16,1,false,0,4194304,1048576,float,sum,-1,929.5,4.51,8.46,0,930.1,4.51,8.45,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,16,1,false,0,8388608,2097152,float,sum,-1,1835.2,4.57,8.57,0,1836.9,4.57,8.56,0
